index,date,sunrise_time,sunset_time,moonrise_time,moonset_time,temp_max_c,temp_max_f,temp_min_c,temp_min_f,precip_total_mm,precip_total_in,rain_total_mm,rain_total_in,snow_total_mm,snow_total_in,prob_precip_pct,humid_max_pct,humid_min_pct,windspd_max_mph,windspd_max_kmh,windspd_max_kts,windspd_max_ms,windgst_max_mph,windgst_max_kmh,windgst_max_kts,windgst_max_ms,slp_max_in,slp_max_mb,slp_min_in,slp_min_mb
309,09/12/2024,08:38,17:38,14:06,01:35,0.5,32.9,-0.1,31.7,0.1,0,0,0,0,0,96,97,96,9,14,8,3.9,14,22,12,6.1,29.93,1010.8,29.9,1009.8
310,10/12/2024,08:39,17:38,14:27,02:51,4.2,39.6,0.9,33.7,2.9,0.1,3,1,0,0,87,99,95,7,11,6,3.1,15,24,13,6.6,30.02,1013.9,29.9,1009.5
311,11/12/2024,08:40,17:38,14:50,04:09,4.4,39.8,1,33.7,12,0.5,9,4,0,0,85,98,84,23,37,20,10.2,26,42,23,11.8,29.83,1007.4,29.6,999.7
312,12/12/2024,08:41,17:38,15:18,05:30,-0.1,31.8,-6.2,20.9,1.8,0.1,0,0,1,0,77,78,64,31,50,27,13.9,36,57,31,15.9,30.48,1029.2,29.68,1002.2
313,13/12/2024,08:42,17:38,15:53,06:52,-3.3,26,-6.5,20.3,0,0,0,0,0,0,0,72,57,17,27,15,7.6,20,32,17,8.8,30.79,1039.6,30.54,1031.2
314,14/12/2024,08:42,17:38,16:39,08:12,5.5,41.8,-3.7,25.3,10.4,0.4,10,3,0,0,57,97,72,18,28,15,7.9,23,37,20,10.3,30.75,1038.3,30.42,1027.4
315,15/12/2024,08:43,17:39,17:37,09:25,3.9,39.1,2.5,36.5,7.9,0.3,7,2,0,0,52,99,98,9,15,8,4.1,17,27,15,7.5,30.4,1026.6,30.36,1025.1
